,suspect,items
39,A,"Bandages, Bread, Batteries, Salt, Flashlight, Disposable Gloves, Garbage Bag"
40,A,"Eggs, Water Bottle, Bread, Tuna, Batteries, Rope, Mayo, Salt, Disposable Gloves, Garbage Bag"
41,A,"Bandages, Eggs, Water Bottle, Bread, Catnips, Tuna, Batteries, Mayo, Salt, Flashlight, Disposable Gloves, Corned Beef, Skyflakes"
42,A,"Eggs, Salad, Tuna, Batteries, Rope, Mayo, Salt, Tomatoes, Disposable Gloves"
43,A,"Bandages, Eggs, Catnips, Tuna, Salad, Salt, Mayo, Flashlight, Corned Beef, Garbage Bag, Skyflakes"
44,A,"Bandages, Eggs, Salad, Tuna, Batteries, Rope, Salt, Mayo, Tomatoes, Flashlight"
45,A,"Eggs, Water Bottle, Salad, Tuna, Batteries, Mayo, Salt, Tomatoes, Disposable Gloves, Garbage Bag, Skyflakes"
46,A,"Water Bottle, Salad, Tuna, Batteries, Rope, Catnips, Mayo, Tomatoes, Flashlight, Disposable Gloves, Garbage Bag"
47,A,"Bandages, Bread, Salad, Tuna, Catnips, Rope, Mayo, Tomatoes, Flashlight, Disposable Gloves"
48,A,"Salad, Tuna, Salt, Mayo, Tomatoes, Flashlight, Disposable Gloves, Corned Beef, Skyflakes"
49,A,"Eggs, Water Bottle, Bread, Salad, Catnips, Batteries, Salt, Corned Beef, Garbage Bag"
50,A,"Flashlight, Eggs, Water Bottle, Bread, Disposable Gloves, Batteries, Rope, Salt"
51,A,"Bandages, Water Bottle, Catnips, Tuna, Mayo, Salt, Disposable Gloves, Corned Beef, Skyflakes"
52,A,"Bandages, Eggs, Catnips, Salad, Batteries, Tuna, Mayo, Salt, Disposable Gloves, Corned Beef, Garbage Bag, Skyflakes"
53,A,"Bandages, Tomatoes, Corned Beef, Tuna, Batteries, Rope, Mayo"
54,A,"Eggs, Salad, Tuna, Salt, Mayo, Flashlight, Corned Beef, Garbage Bag, Skyflakes"
55,A,"Eggs, Bread, Catnips, Tuna, Batteries, Rope, Salt, Mayo, Disposable Gloves, Corned Beef, Garbage Bag"
56,A,"Water Bottle, Salad, Tuna, Rope, Salt, Mayo, Tomatoes, Flashlight, Corned Beef, Garbage Bag, Skyflakes"
57,A,"Bandages, Salt, Tomatoes, Flashlight, Disposable Gloves, Corned Beef, Garbage Bag, Skyflakes"
58,A,"Water Bottle, Salad, Tuna, Batteries, Rope, Mayo, Tomatoes, Corned Beef, Garbage Bag, Skyflakes"
59,A,"Tomatoes, Salt, Eggs, Bread, Salad, Skyflakes, Batteries, Mayo"
60,B,"Bandages, Eggs, Water Bottle, Bread, Catnips, Tuna, Batteries, Mayo, Salt, Tomatoes, Flashlight, Corned Beef, Skyflakes"
61,B,"Bandages, Eggs, Water Bottle, Catnips, Tuna, Salad, Salt, Mayo, Tomatoes, Corned Beef, Skyflakes"
62,B,"Eggs, Bread, Catnips, Salad, Batteries, Rope, Salt, Tomatoes, Disposable Gloves, Skyflakes"
63,B,"Salt, Skyflakes, Eggs, Salad, Corned Beef, Batteries, Rope, Mayo"
64,B,"Eggs, Catnips, Salad, Batteries, Rope, Mayo, Salt, Tomatoes, Garbage Bag"
65,B,"Eggs, Bread, Salad, Catnips, Rope, Mayo, Salt, Disposable Gloves, Corned Beef, Skyflakes"
66,B,"Bandages, Eggs, Salad, Batteries, Rope, Mayo, Salt, Disposable Gloves, Garbage Bag"
67,B,"Water Bottle, Bread, Salad, Tuna, Rope, Mayo, Tomatoes, Flashlight"
68,B,"Bandages, Water Bottle, Bread, Catnips, Salad, Batteries, Rope, Salt, Tomatoes, Flashlight, Corned Beef, Garbage Bag"
69,B,"Bandages, Eggs, Catnips, Salad, Rope, Mayo, Salt, Tomatoes, Flashlight, Garbage Bag"
70,B,"Bandages, Eggs, Salad, Tuna, Batteries, Mayo, Salt, Disposable Gloves, Corned Beef, Garbage Bag"
71,B,"Bandages, Water Bottle, Bread, Salad, Batteries, Mayo, Corned Beef, Garbage Bag, Skyflakes"
72,B,"Eggs, Water Bottle, Bread, Catnips, Batteries, Salt, Flashlight, Disposable Gloves, Corned Beef, Skyflakes"
73,B,"Bandages, Eggs, Salad, Batteries, Salt, Tomatoes, Flashlight, Disposable Gloves, Corned Beef"
74,B,"Salad, Batteries, Rope, Mayo, Disposable Gloves, Corned Beef, Garbage Bag, Skyflakes"
75,B,"Bandages, Water Bottle, Bread, Catnips, Tuna, Rope, Salt, Mayo, Flashlight, Garbage Bag, Skyflakes"
76,B,"Bread, Salad, Rope, Tomatoes, Flashlight, Corned Beef"
77,B,"Bandages, Eggs, Bread, Catnips, Salad, Batteries, Salt, Flashlight, Disposable Gloves"
78,B,"Eggs, Bread, Salad, Batteries, Mayo, Salt, Tomatoes, Disposable Gloves, Corned Beef, Skyflakes"
79,B,"Bandages, Eggs, Water Bottle, Bread, Catnips, Tuna, Batteries, Mayo, Salt, Tomatoes, Corned Beef"
80,B,"Bandages, Eggs, Water Bottle, Bread, Catnips, Tuna, Batteries, Rope, Mayo, Salt, Flashlight"
81,B,"Bandages, Eggs, Water Bottle, Bread, Salad, Catnips, Rope, Mayo, Salt, Tomatoes, Flashlight, Garbage Bag"
82,B,"Mayo, Flashlight, Water Bottle, Disposable Gloves, Tuna, Batteries, Rope, Salt"
83,B,"Bandages, Bread, Catnips, Salad, Batteries, Mayo, Disposable Gloves, Corned Beef, Garbage Bag, Skyflakes"
84,B,"Bandages, Eggs, Catnips, Salad, Batteries, Rope, Salt, Mayo, Tuna, Disposable Gloves, Skyflakes"
85,B,"Bandages, Eggs, Water Bottle, Bread, Salad, Mayo, Salt, Tomatoes, Flashlight, Garbage Bag, Skyflakes"
86,B,"Bandages, Bread, Salad, Tuna, Rope, Salt, Mayo, Tomatoes, Corned Beef"
87,B,"Eggs, Bread, Salad, Tuna, Batteries, Rope, Mayo, Salt, Tomatoes, Flashlight, Garbage Bag"
88,B,"Bandages, Bread, Catnips, Salad, Salt, Mayo, Tomatoes, Flashlight, Disposable Gloves, Corned Beef, Garbage Bag, Skyflakes"
89,B,"Bandages, Water Bottle, Salad, Catnips, Batteries, Mayo, Tomatoes, Flashlight, Disposable Gloves, Corned Beef, Garbage Bag"
90,B,"Water Bottle, Salad, Catnips, Batteries, Tuna, Mayo, Flashlight, Disposable Gloves, Corned Beef, Garbage Bag"
91,B,"Skyflakes, Eggs, Catnips, Corned Beef, Salt, Rope, Mayo"
92,B,"Bandages, Eggs, Water Bottle, Catnips, Salad, Rope, Mayo, Salt, Tomatoes, Corned Beef, Garbage Bag, Skyflakes"
93,B,"Bandages, Water Bottle, Salad, Tuna, Catnips, Batteries, Salt, Mayo, Tomatoes, Skyflakes"
94,B,"Water Bottle, Salad, Tuna, Batteries, Salt, Mayo, Tomatoes, Flashlight, Corned Beef"
95,B,"Bread, Salad, Tuna, Rope, Salt, Mayo, Tomatoes, Flashlight, Corned Beef, Skyflakes"
96,B,"Bandages, Water Bottle, Catnips, Tuna, Batteries, Mayo, Salt, Tomatoes, Flashlight, Disposable Gloves, Corned Beef, Skyflakes"
97,B,"Eggs, Tuna, Batteries, Mayo, Salt, Tomatoes, Flashlight, Disposable Gloves, Corned Beef, Skyflakes"
98,B,"Bandages, Eggs, Bread, Catnips, Rope, Mayo, Salt, Flashlight, Corned Beef, Skyflakes"
99,B,"Water Bottle, Bread, Catnips, Tuna, Batteries, Salt, Mayo, Tomatoes, Corned Beef, Garbage Bag, Skyflakes"
100,B,"Eggs, Water Bottle, Bread, Catnips, Tuna, Batteries, Mayo, Salt, Tomatoes, Flashlight, Garbage Bag"
101,B,"Bandages, Water Bottle, Bread, Catnips, Tuna, Salad, Rope, Mayo, Salt, Tomatoes, Flashlight, Corned Beef, Garbage Bag"
102,B,"Bandages, Salt, Eggs, Water Bottle, Bread, Catnips, Batteries, Mayo"
103,B,"Bandages, Eggs, Bread, Catnips, Batteries, Rope, Salt, Tomatoes, Disposable Gloves"
104,B,"Bandages, Eggs, Water Bottle, Bread, Tuna, Batteries, Salt, Mayo, Tomatoes, Flashlight, Disposable Gloves, Garbage Bag, Skyflakes"
105,B,"Water Bottle, Salad, Tuna, Mayo, Flashlight, Disposable Gloves, Corned Beef, Garbage Bag"
106,B,"Eggs, Water Bottle, Bread, Catnips, Salad, Batteries, Rope, Salt, Mayo, Flashlight, Garbage Bag"
107,B,"Bandages, Salt, Garbage Bag, Eggs, Salad, Batteries, Disposable Gloves, Skyflakes"
108,B,"Eggs, Water Bottle, Catnips, Tuna, Batteries, Rope, Mayo, Salt, Flashlight, Disposable Gloves, Garbage Bag, Skyflakes"
109,B,"Bandages, Eggs, Catnips, Tuna, Salt, Mayo, Tomatoes, Flashlight, Skyflakes"
110,B,"Eggs, Water Bottle, Catnips, Tuna, Salad, Salt, Mayo, Tomatoes"
111,B,"Eggs, Water Bottle, Bread, Salad, Tuna, Batteries, Rope, Mayo, Salt, Tomatoes, Flashlight, Skyflakes"
112,B,"Water Bottle, Bread, Catnips, Rope, Salt, Mayo, Tomatoes, Flashlight, Corned Beef, Garbage Bag"
113,B,"Bandages, Eggs, Bread, Salad, Catnips, Batteries, Tuna, Mayo, Salt, Flashlight, Corned Beef, Garbage Bag"
114,B,"Bandages, Eggs, Bread, Catnips, Batteries, Mayo, Salt, Tomatoes, Disposable Gloves, Garbage Bag, Skyflakes"
115,B,"Mayo, Bandages, Tomatoes, Catnips, Tuna, Batteries, Disposable Gloves, Skyflakes"
116,B,"Bandages, Eggs, Water Bottle, Tuna, Rope, Mayo, Salt, Tomatoes, Flashlight, Disposable Gloves, Corned Beef"
117,B,"Water Bottle, Bread, Catnips, Tuna, Batteries, Rope, Salt, Mayo, Skyflakes"
118,B,"Water Bottle, Bread, Salad, Batteries, Mayo, Salt, Tomatoes, Flashlight, Corned Beef, Garbage Bag, Skyflakes"
119,B,"Bandages, Eggs, Water Bottle, Bread, Catnips, Tuna, Salad, Rope, Mayo, Batteries, Salt, Flashlight, Disposable Gloves, Garbage Bag, Skyflakes"
120,C,"Bandages, Eggs, Water Bottle, Salad, Tuna, Rope, Mayo, Salt, Flashlight, Disposable Gloves, Corned Beef, Garbage Bag, Skyflakes"
121,C,"Bread, Catnips, Salad, Batteries, Mayo, Tomatoes, Corned Beef, Garbage Bag, Skyflakes"
122,C,"Bandages, Water Bottle, Salad, Tuna, Catnips, Salt, Mayo, Flashlight"
123,C,"Water Bottle, Bread, Batteries, Mayo, Tomatoes, Flashlight, Corned Beef, Skyflakes"
124,C,"Bandages, Water Bottle, Bread, Tuna, Batteries, Salt, Mayo, Tomatoes, Disposable Gloves, Corned Beef, Garbage Bag"
125,C,"Eggs, Catnips, Tuna, Batteries, Salt, Mayo, Tomatoes, Disposable Gloves, Corned Beef, Garbage Bag"
126,C,"Corned Beef, Skyflakes, Flashlight, Salad, Tuna, Salt, Mayo"
127,C,"Bandages, Eggs, Water Bottle, Bread, Catnips, Tuna, Batteries, Mayo, Salt, Tomatoes, Corned Beef, Skyflakes"
128,C,"Mayo, Tomatoes, Flashlight, Bread, Catnips, Tuna, Garbage Bag, Skyflakes"
129,C,"Eggs, Water Bottle, Tuna, Rope, Salt, Mayo, Flashlight, Disposable Gloves, Corned Beef"
130,C,"Bread, Salad, Tuna, Batteries, Salt, Mayo, Flashlight, Corned Beef, Garbage Bag"
131,C,"Eggs, Bread, Salad, Tuna, Rope, Salt, Mayo, Tomatoes, Disposable Gloves, Corned Beef, Skyflakes"
132,C,"Water Bottle, Bread, Catnips, Tuna, Rope, Salt, Mayo, Tomatoes, Flashlight, Corned Beef"
133,C,"Eggs, Water Bottle, Salad, Tuna, Batteries, Rope, Mayo, Salt, Tomatoes, Flashlight, Corned Beef, Garbage Bag, Skyflakes"
134,C,"Eggs, Bread, Salad, Tuna, Batteries, Rope, Mayo, Salt, Disposable Gloves, Corned Beef, Garbage Bag, Skyflakes"
135,C,"Bandages, Eggs, Catnips, Tuna, Salad, Rope, Mayo, Salt, Disposable Gloves, Corned Beef, Garbage Bag, Skyflakes"
136,C,"Bandages, Bread, Catnips, Salad, Tuna, Rope, Mayo, Corned Beef, Garbage Bag, Skyflakes"
137,C,"Bandages, Eggs, Bread, Salad, Tuna, Batteries, Rope, Salt, Mayo, Tomatoes, Disposable Gloves, Skyflakes"
138,C,"Eggs, Water Bottle, Bread, Catnips, Batteries, Rope, Salt, Tomatoes, Flashlight, Disposable Gloves, Corned Beef, Garbage Bag"
139,C,"Bandages, Salad, Catnips, Batteries, Rope, Mayo, Tuna, Tomatoes, Flashlight, Disposable Gloves, Garbage Bag, Skyflakes"
140,C,"Bandages, Eggs, Water Bottle, Bread, Salad, Tuna, Rope, Salt, Mayo, Tomatoes, Corned Beef, Garbage Bag"
141,C,"Bandages, Water Bottle, Salad, Catnips, Tuna, Rope, Mayo, Batteries, Salt, Flashlight, Disposable Gloves, Corned Beef, Skyflakes"
142,C,"Flashlight, Disposable Gloves, Eggs, Salad, Skyflakes, Salt, Rope, Catnips"
143,C,"Bandages, Eggs, Salad, Tuna, Batteries, Rope, Salt, Mayo, Tomatoes, Flashlight, Disposable Gloves, Skyflakes"
144,C,"Bandages, Eggs, Water Bottle, Bread, Rope, Mayo, Salt, Tomatoes, Flashlight"
145,C,"Bandages, Water Bottle, Bread, Catnips, Tuna, Mayo, Salt, Tomatoes, Flashlight, Disposable Gloves, Corned Beef, Garbage Bag"
146,C,"Mayo, Flashlight, Corned Beef, Eggs, Catnips, Tuna, Salt"
147,C,"Bandages, Water Bottle, Bread, Catnips, Tuna, Salad, Salt, Mayo, Tomatoes, Garbage Bag"
148,C,"Bandages, Eggs, Water Bottle, Bread, Salad, Catnips, Batteries, Rope, Salt, Flashlight, Disposable Gloves, Garbage Bag"
149,C,"Eggs, Salad, Catnips, Batteries, Rope, Mayo, Tuna, Salt, Tomatoes, Disposable Gloves, Corned Beef, Garbage Bag, Skyflakes"
150,C,"Tomatoes, Garbage Bag, Eggs, Bread, Salad, Batteries, Salt"
151,C,"Bandages, Water Bottle, Salad, Tuna, Batteries, Rope, Mayo, Catnips, Tomatoes, Disposable Gloves, Corned Beef, Garbage Bag, Skyflakes"
152,C,"Bandages, Water Bottle, Bread, Catnips, Tuna, Rope, Mayo, Tomatoes, Corned Beef, Garbage Bag, Skyflakes"
153,C,"Eggs, Bread, Catnips, Tuna, Salad, Batteries, Salt, Mayo, Flashlight, Disposable Gloves, Corned Beef, Garbage Bag"
154,C,"Bandages, Eggs, Water Bottle, Bread, Salad, Catnips, Batteries, Salt, Corned Beef, Garbage Bag"
155,C,"Bandages, Eggs, Bread, Catnips, Salad, Mayo, Salt, Tomatoes, Flashlight, Skyflakes"
156,C,"Eggs, Bread, Catnips, Salad, Batteries, Mayo, Salt, Flashlight, Disposable Gloves, Garbage Bag"
157,C,"Eggs, Water Bottle, Salad, Tuna, Catnips, Batteries, Mayo, Salt, Flashlight, Corned Beef, Skyflakes"
158,C,"Eggs, Bread, Salad, Tuna, Mayo, Salt, Tomatoes, Flashlight, Disposable Gloves, Skyflakes"
159,C,"Bandages, Eggs, Water Bottle, Bread, Catnips, Tuna, Batteries, Mayo, Salt, Flashlight, Disposable Gloves, Corned Beef, Garbage Bag, Skyflakes"
160,C,"Bandages, Water Bottle, Salad, Tuna, Batteries, Catnips, Salt, Rope, Mayo, Tomatoes, Flashlight, Garbage Bag, Skyflakes"
161,C,"Water Bottle, Catnips, Salad, Batteries, Rope, Salt, Mayo, Tomatoes, Disposable Gloves, Corned Beef, Garbage Bag"
162,C,"Eggs, Bread, Catnips, Tuna, Batteries, Rope, Mayo, Salt, Tomatoes, Disposable Gloves, Corned Beef, Garbage Bag"
163,C,"Eggs, Water Bottle, Salad, Rope, Salt, Mayo, Tomatoes, Flashlight"
164,C,"Bandages, Eggs, Rope, Salt, Tomatoes, Flashlight, Disposable Gloves, Garbage Bag, Skyflakes"
165,C,"Water Bottle, Bread, Salad, Tuna, Batteries, Mayo, Salt, Flashlight, Corned Beef"
166,C,"Salad, Tuna, Batteries, Rope, Salt, Mayo, Tomatoes, Garbage Bag, Skyflakes"
167,C,"Bandages, Eggs, Bread, Salad, Tuna, Rope, Mayo, Salt, Garbage Bag, Skyflakes"
168,C,"Mayo, Bandages, Tomatoes, Water Bottle, Bread, Disposable Gloves, Tuna, Salt"
169,C,"Bandages, Water Bottle, Bread, Salad, Rope, Mayo, Salt, Flashlight, Corned Beef, Garbage Bag"
170,C,"Bandages, Eggs, Bread, Catnips, Tuna, Mayo, Salt, Tomatoes, Disposable Gloves, Corned Beef"
171,C,"Bandages, Water Bottle, Catnips, Batteries, Mayo, Tomatoes, Flashlight, Garbage Bag, Skyflakes"
172,C,"Bandages, Eggs, Water Bottle, Salad, Tuna, Salt, Mayo, Tomatoes, Flashlight, Corned Beef, Garbage Bag"
173,C,"Eggs, Tuna, Batteries, Mayo, Salt, Tomatoes, Flashlight, Corned Beef, Garbage Bag"
174,C,"Bread, Catnips, Batteries, Salt, Flashlight, Garbage Bag, Skyflakes"
175,C,"Mayo, Bread, Catnips, Tuna, Batteries, Rope, Salt"
176,C,"Bandages, Water Bottle, Bread, Tuna, Batteries, Rope, Salt, Mayo, Tomatoes, Flashlight, Corned Beef"
177,C,"Bandages, Eggs, Water Bottle, Bread, Catnips, Tuna, Rope, Mayo, Salt, Flashlight, Disposable Gloves"
178,C,"Water Bottle, Catnips, Tuna, Batteries, Rope, Salad, Mayo, Corned Beef, Skyflakes"
179,C,"Salad, Tuna, Rope, Mayo, Flashlight, Corned Beef, Garbage Bag, Skyflakes"
180,D,"Bandages, Eggs, Water Bottle, Disposable Gloves, Corned Beef, Salt, Mayo"
181,D,"Bandages, Salad, Tuna, Batteries, Rope, Mayo, Catnips, Flashlight, Disposable Gloves"
182,D,"Tomatoes, Flashlight, Salt, Eggs, Disposable Gloves, Batteries, Skyflakes"
183,D,"Bread, Salad, Batteries, Rope, Salt, Mayo, Tomatoes, Garbage Bag, Skyflakes"
184,D,"Bandages, Eggs, Bread, Tuna, Rope, Mayo, Salt, Flashlight, Corned Beef, Skyflakes"
185,D,"Eggs, Water Bottle, Bread, Catnips, Rope, Salt, Mayo, Garbage Bag"
186,D,"Bandages, Eggs, Bread, Catnips, Tuna, Batteries, Salt, Mayo, Garbage Bag"
187,D,"Bandages, Salad, Catnips, Batteries, Rope, Salt, Tomatoes, Flashlight, Skyflakes"
188,D,"Bandages, Garbage Bag, Eggs, Water Bottle, Salt, Tuna, Batteries, Mayo"
189,D,"Bandages, Catnips, Tuna, Salt, Mayo, Tomatoes, Corned Beef, Garbage Bag"
190,D,"Water Bottle, Catnips, Tuna, Salad, Rope, Mayo, Flashlight, Disposable Gloves, Corned Beef, Garbage Bag"
191,D,"Eggs, Bread, Catnips, Tuna, Batteries, Salt, Mayo, Disposable Gloves, Garbage Bag, Skyflakes"
192,D,"Eggs, Water Bottle, Bread, Salad, Rope, Salt, Tomatoes, Flashlight, Skyflakes"
193,D,"Eggs, Bread, Salad, Tuna, Catnips, Rope, Salt, Mayo, Tomatoes, Corned Beef, Garbage Bag"
194,D,"Bandages, Eggs, Catnips, Tuna, Salad, Batteries, Mayo, Salt, Tomatoes, Skyflakes"
195,D,"Bandages, Eggs, Water Bottle, Bread, Catnips, Salad, Rope, Mayo, Salt, Tomatoes, Flashlight, Garbage Bag, Skyflakes"
196,D,"Bandages, Eggs, Water Bottle, Bread, Catnips, Salad, Batteries, Salt, Disposable Gloves, Corned Beef, Skyflakes"
197,D,"Eggs, Salad, Tuna, Batteries, Rope, Salt, Mayo, Flashlight, Corned Beef, Garbage Bag, Skyflakes"
198,D,"Bandages, Catnips, Tuna, Salad, Rope, Mayo, Tomatoes, Corned Beef, Garbage Bag"
199,D,"Eggs, Water Bottle, Bread, Tuna, Batteries, Mayo, Salt, Flashlight, Corned Beef, Garbage Bag, Skyflakes"
200,D,"Bandages, Eggs, Bread, Catnips, Tuna, Salad, Rope, Salt, Mayo, Disposable Gloves, Corned Beef, Garbage Bag, Skyflakes"
201,D,"Eggs, Catnips, Tuna, Batteries, Mayo, Salt, Tomatoes, Disposable Gloves, Corned Beef, Garbage Bag, Skyflakes"
202,D,"Bandages, Eggs, Bread, Salad, Catnips, Tuna, Mayo, Salt, Flashlight, Disposable Gloves, Corned Beef, Skyflakes"
203,D,"Salad, Batteries, Rope, Flashlight, Disposable Gloves, Skyflakes"
204,D,"Water Bottle, Catnips, Salad, Rope, Salt, Flashlight, Disposable Gloves, Corned Beef"
205,D,"Bandages, Disposable Gloves, Eggs, Bread, Salad, Garbage Bag, Rope, Salt"
206,D,"Bread, Catnips, Salad, Batteries, Rope, Flashlight, Disposable Gloves, Skyflakes"
207,D,"Water Bottle, Bread, Salad, Batteries, Rope, Flashlight, Corned Beef, Garbage Bag"
208,D,"Water Bottle, Bread, Salad, Tuna, Batteries, Rope, Mayo, Salt"
209,D,"Eggs, Water Bottle, Tuna, Batteries, Rope, Salt, Mayo, Flashlight, Garbage Bag"
210,D,"Bandages, Catnips, Tuna, Salad, Rope, Salt, Mayo, Tomatoes, Flashlight, Garbage Bag, Skyflakes"
211,D,"Bandages, Water Bottle, Bread, Catnips, Batteries, Rope, Mayo, Salt, Flashlight, Disposable Gloves, Skyflakes"
212,D,"Mayo, Bandages, Eggs, Bread, Catnips, Corned Beef, Salt"
213,D,"Eggs, Salad, Catnips, Tuna, Rope, Mayo, Salt, Tomatoes, Flashlight, Disposable Gloves, Garbage Bag"
214,D,"Bandages, Eggs, Catnips, Salad, Batteries, Mayo, Salt, Flashlight, Disposable Gloves"
215,D,"Bandages, Eggs, Water Bottle, Catnips, Rope, Salt, Flashlight, Disposable Gloves, Corned Beef, Skyflakes"
216,D,"Bandages, Bread, Tuna, Rope, Salt, Mayo, Tomatoes, Flashlight, Disposable Gloves, Corned Beef, Skyflakes"
217,D,"Bandages, Water Bottle, Bread, Salad, Tuna, Rope, Salt, Mayo, Disposable Gloves, Corned Beef, Skyflakes"
218,D,"Bandages, Eggs, Water Bottle, Bread, Salad, Tuna, Batteries, Catnips, Mayo, Rope, Salt, Tomatoes, Corned Beef"
219,D,"Bandages, Catnips, Batteries, Rope, Salt, Tomatoes, Flashlight, Disposable Gloves, Corned Beef, Garbage Bag, Skyflakes"
220,D,"Bandages, Eggs, Bread, Catnips, Tuna, Batteries, Rope, Salt, Salad, Mayo, Flashlight, Garbage Bag"
221,D,"Eggs, Water Bottle, Catnips, Tuna, Rope, Mayo, Salt, Tomatoes, Flashlight, Corned Beef, Garbage Bag"
222,D,"Bandages, Eggs, Catnips, Tuna, Salad, Rope, Mayo, Salt, Tomatoes"
223,D,"Bandages, Tomatoes, Water Bottle, Salad, Tuna, Batteries, Mayo"
224,D,"Eggs, Water Bottle, Bread, Salad, Tuna, Rope, Salt, Mayo, Tomatoes, Corned Beef, Garbage Bag, Skyflakes"
225,D,"Bread, Salad, Tuna, Batteries, Salt, Mayo, Tomatoes, Disposable Gloves, Skyflakes"
